slang,formal
pakek,pakai
pakek , pakai
pakke,pakai
paksain,memaksa
paksain,memaksakan
pala,kepala
pala , kepala
palgi,apalagi
palinf,paling
palingann,palingan
pan,kapan
pandanginya,memandanginya
panggilan'y,panggilannya
panggilan'ya,panggilannya
panglingg,pangling
panja , panitia kerja
pankapan,kapan-kapan
pans,fan
pansus , panitia khusus
pantes,pantas
pantess,pantas
pantura , pantai utara
papahhhnya,papahnya
papiii,papi
para2,parah-parah
paraa,para
paraaah,parah
paraah,parah
parahh,parah
paranoid , takut
paripurnahh,paripurna
parno , takut
parpol,partai
parpol , partai politik
parsis,persis
parte , partai
pas2an,pas-pasan
pas2an , pas-pasan
pasangn,pasangan
"pasien""nya",pasien-pasiennya
pass,pas
passs,pas
past,pasti
pastii,pasti
pasutri , pasangan suami istri
patas , cepat dan terbatas
payahh,payah
pcar,pacar
pcaran,pacaran
pcaranya,pacarannya
pcarny,pacarnya
pcran,pacaran
pcrn,pacaran
pcrnya,pacarnya
pd,pada
pd,percaya diri
pd , pada
pda,pada
pdahal,padahal
pdhal,padahal
pdhall,padahal
pdhl,padahal
pdhl , pada hal
pdhl , padahal
pdip , partai demokrasi Indonesia perjuangan
pdng,padang
pdskji , perhimpunan dokter spesialis kedokteran jiwa indonesia
pdt , padat
pecahan2 , pecahan-pecahan
pecahhg,pecah
pede,percaya diri
pede , percaya diri
pedes,pedas
pedesssss,pedas
peduliin,mempedulikan
pedulilaaaah,pedulilah
peen,pengin
peengn,pengin
pegang2,pegang-pegang
pegangin,memegang
pelanggarab , pelanggaran
pelastik,plastik
pelatda , pemusatan latihan daerah
pelatnas , pemusatan latihan nasional
pelcehn , pelecehan
peleotin,meleot
peliharaaaa,pelihara
pelwak,pelawak
pemainy,pemainnya
pembokat , pembantu
pemda , pemerintah daerah
pemilu , pemilihan umum
pemko , pemerintah kota
pemkot , pemerintah kota
pemprov , pemerintah provinsi
pemred , pemimpin redaksi
pen,pengin
penasaraaann,penasaran
penasarannnn,penasaran
penasarn,penasaran
penbelian,pembelian
pendukung2 , pendukung-pendukung
penertiban , tertib
pengalam,pengalaman
pengan,pengin
penganten,pengantin
pengeeenn,pengin
pengen,pengin
pengen , ingin
pengenn,pengin
pengennn,pengin
pengennnn,pengin
penghrgaan,penghargaan
pengikuy,pengikut
pengn,pengin
pengrusak,perusak
penjas , pendidikan jasmani
penmas , pendidikan masyarakat
pensaran,penasaran
pentass,pentas
pentingg,penting
penyakitny,penyakitnya
penyanyi2,penyanyi-penyanyi
penyebab2,penyebab-penyebab
peragain,peragakan
perasaanny,perasaannya
perbaikin,memperbaiki
perbulannn,perbulan
percya,percaya
perda , peraturan daerah
perek , wanita tuna susila
peremp , perempuan
pergub , peraturan gubernur
perhatiam,perhatian
perhatiin,perhatikan
perhatiin , perhatikan
perilakuny,perilakunya
perjabatt,pejabat
permasalhkan,permasalahkan
perna,pernah
pernikahn,pernikahan
personill,personil
pertamany,pertamanya
pertamax , pertama
pertma,pertama
perubut,perebut
pesen,pesan
pesenan , pesanan
pesenin , pesankan
petinggi2,petinggi-petinggi
pg,pagi
pgang , pegang
pgen,pengin
pgi,pagi
pgi , pagi
pgi , pergi
pgin,pengin
pgn,pengin
pgnnya,penginnya
pi,tapi
pi , tapi
pihak2 , pihak pihak
piiiilih,pilih
piiink,pink
pijetin , pijitkan
"pikir""",pikir-pikir
pilgub , pemilihan gubernur
pilihannny,pilihannya
pilihnmu,pilihanmu
pilkada , pemilihan kepala daerah
pilm,film
pimpro , pemimpin proyek
pingin,pengin
pinginnn,pengin
pinkkkk,pink
pinter,pintar
pinter2 , pintar-pintar
pintr,pintar
pipine,pipinya
pipinyaaa,pipinya
pipi'y,pipinya
pisan , sangat
pisgor , pisang goreng
pjang,pajang
pjg,panjang
pk,pakai
pk , penjahat kelamin
pkai,pakai
pke,pakai
pke , pakai
pkee,pakai
pkek,pakai
pket , paket
pkk,pakai
pkoknya,pokoknya
pkoknyaa,pokoknya
pkr , pakar
pkrin,pikirkan
pks , partai keadilan sejahtera
pla,pula
plampiasannn,pelampiasan
plg,pulang
plg , paling
plh,pilih
plh , pilih
pling,paling
pljaran,pelajaran
pljrn,pelajaran
pls , tolong
plsa,pulsa
pluk,peluk
pm , private message
pmbantu,pembantu
pmbelajaran,pembelajaran
pmbyran,pembayaran
pmhaman , pemahaman
pmrnth , pemerintah
pndah,pindah
pndang,pandang
pndapat,pendapat
pndkung ,pendukung
pndukung , pendukung
pngen,pengin
pngenn,pengin
pngn,pengin
pnjang,panjang
pnjerumus,penjerumus
pnjilat , penjilat
pnjng,panjang
pnjual,penjual
pns , pegawai negeri sipil
pnting,penting
pnuh,penuh
pny,punya
pny , punya
pnya,punya
pnyaa,punya
poin2 , poin-poin
poko,pokok
pokok'a,pokoknya
pokonya,pokoknya
polantas , polisi lalu lintas
polda , kepolisian daerah
poling,polling
polll,pol
pollll,pol
polres , kepolisian resor
polwan , polisi wanita
pon , juga
ponakn,ponakan
ponpes , pondok pesantren
ponsel , telepon seluler
poollll,pol
poool,pol
poooolllll,pol
positippp,positif
poster2 , poster-poster
pp , pimpinan pusat
pp , pulang pergi
ppa,papa
ppa , apa
praktekin,mempraktikkan
prasaan,perasaan
prawatan,perawatan
prbndngan,perbandingan
prcuma,percuma
prcy,percaya
prcya,percaya
prempuan,perempuan
presh , segar
president,presiden
prg , pergi
prh,parah
prhatian,perhatian
prikitiw , cie
priksa , periksa
prilaku , perilaku
prinadi,pribadi
prjuangan,perjuangan
prlu,perlu
prmpuan,perempuan
prnah,pernah
prnh,pernah
prnh , pernah
pro , profesional
problem , masalah
prodac,produk
prodak,produk
prodaknya,produknya
promil,program hamil
promoo,promo
protestin,protestan
prototype , contoh
prov , provinsi
prsatukn,persatukan
prtamax,pertamanya
prwatn,perawatan
prwtn,perawatan
ps,pas
psangan,pasangan
psen , pesan
psgn,pasangan
psn , pesan
psr , pasar
pst,pasti
pst , pasti
psti,pasti
psti , pasti
pswt , pesawat
ptemuan , pertemuan
pu,punya
puanas , panas
pucing,pusing
pukulin,pukuli
pulaa,pula
pulak,pula
pulgar , kasar
punn,pun
punyaaa,punya
pura2,pura-pura
pusingggg,pusing
puskesmas2 , puskesmas-puskesmas
putihh,putih
putihnyaa,putihnya
puyeng , pusing
pw , posisi nyaman
px,punya
py,punya
pyudara,payudara
q,ku
q,aku
qaqaaaa,kakak
qm,kamu
qmo , kamu
qmu,kamu
qmu , kamu
qo,kok
qt,kita
qt , kita
qta,kita
qu,ku
rajin2,rajin-rajin
rakor , rapat koordinasi
rakyt,rakyat
rame , ramai
rame2,rame-rame
rana,ranah
rang , orang
ranmor , kendaraan bermotor
rapih,rapi
rasaiin,rasai
rasain,rasai
rasain,merasai
rasakn,rasakan
raskin , rakyat miskin
rata2,rata-rata
rata2 , rata-rata
rb,ribu
re , reply
recomendasinya,rekomendasinya
recommendasi,rekomendasi
red , redaksi
redho,ridho
ref , referensi
reg , register
rehab , rehabilitasi
rejeki , rezeki
rekan2 , rekan-rekan
reklamuk , reklamasi
rekomendain,rekomendasikan
rekomendasiiin,merekomendasikan
rekomendasiin,merekomendasikan
rekomendasiin,rekomendasikan
rekomndd,rekomendasi
relaaaa,rela
remang2,remang-remang
rempah2 , rempah-rempah
rempong,repot
rempong , sulit
renstra , rencana strategis
repong,repot
repot2,repot-repot
repp , balas
reskrim , reserse kriminal
restik , reserse narkotika
rezeqinya,rezekinya
rezki,rezeki
rhs , Rahasia
ributin,meributkan
rights , benar
rinduuuuuuu,rindu
rinduuuuuuuuu,rindu
rinduuuuuuuuuu,rindu
rja , raja
rkyat,rakyat
rkyt,rakyat
rkyt , rakyat
rmbt,rambut
rmbt , rambut
rmbut,rambut
rmbutnya,rambutnya
rmbuut,rambut
rmh,rumah
rmh , rumah
rofl , rolling on the floor laughing
romantisny,romatisnya
romantiss,romantis
romantiz,romantis
romntis,romantis
rpt2,repot-repot
ru , baru
rubahnn , rubah
rudal , peluru kendali
ruko , rumah toko
rumh,rumah
rumpiin,rumpi
rupa2nya,rupa-rupanya
rusakkk,rusak
rusun , rumah susun
rusunawa , rumah susun sewa
rutan , rumah tahanan
ruu , rancangan undang-undang
ruz , terus
rwt , rawat
s,si
s,sih
s*inetr*n,sinetron
s3ndiri,sendiri
s4 , sempat
saat2,saat-saat
saayyyyy,say
sabaarrr,sabar
sabal,sabar
sabaro,sabar
sabarrr,sabar
sabarrrrr,sabar
sadaar , sadar
sadis2,sadis-sadis
sah2 , sah-sah
sahabatt,sahabat
saia , saya
saiank , sayang
salaam,salam
salahin,salahkan
salammmm,salam
salehah,salihah
salfok,salah fokus
salluutt,salut
salting , salah tingkah
saltum , salah kostum
saltummmm,salah kostum
sam,sama
"sama""",sama-sama
sama2,sama-sama
samaa,sama
samaaaa,sama
samara,sakinah mawadah rahman
samoga,semoga
sampai2,sampai-sampai
sampe,sampai
sampe , sampai
sampein,sampaikan
sampek,sampai
sampeyan , anda
sampis,sampah habis
sampw,sampai
samsek , sama sekali
sangaaattt,sangat
sangat2,sangat-sangat
sangattt,sangat
sanggat,sangat
sangt,sangat
santab,santap
sapa , siapa
sapa2,sapa-sapa
sapose , siapa
saranin,menyarankan
saranin,sarankan
sasama,sesama
satkorlak , satuan koordinator pelaksana
satpam , satuan pengamanan
satupunn,satupun
satuu,satu
satuuuuu,satu
saudra,saudara
say,sayang
say , sayang
saya2,saya-saya
sayaa,saya
sayaang,sayang
sayan , sayang
sayangg'',sayang-sayang
sayanggg,sayang
sayangggq,sayangku
sayangkuh,sayangku
sayangkuuuuu,sayangku
sayangx,sayangnya
sayy,sayang
sayyy,say
sbagai,sebagai
sbaiknya,sebaiknya
sbaliknya , sebaliknya
sbb,sebab
sbb , sebagai berikut
sbbrnya,sebenarnya
sbbyak,sebanyak
sbelah,sebelah
sbelum,sebelum
sbenernya,sebenarnya
sbg,sebagai
sbg , sebagai
sbgai,sebagai
sbgn , sebagian
sbh , sebuah
sbhabat,sahabat
sblah,sebelah
sblh,sebelah
sblm,sebelum
sblm , sebelum
sblmny,sebelumnya
sblmnya,sebelumnya
sblum,sebelum
sbnarnya,sebenarnya
sbnr , sebenar
sbnrny,sebenarnya
sbnrny , sebenarnya
sbntr , sebentar
sbnyak,sebanyak
sbr,sabar
sbuah,sebuah
sby,surabaya
scara , secara
scpatny,secepatnya
scr,secara
scr , secara
scra,secara
sdah,sudah
sdara,saudara
sdg,sedang
sdg , sedang
sdgkn,sedangkan
sdgkn , sedangkan
sdh,sudah
sdh , sudah
sdkit,sedikit
sdkit2,sedikit-sedikit
sdkt,sedikit
sdkt , sedikit
sdkt ,sedikit
sdngkn , sedangkan
sdri,sendiri
SE , Surat Edaran
se7,setuju
se7 , setuju
seabrek , banyak
seandainy,seandainya
"sebaik""",sebaik-baik
sebelas dua belas , mirip
sebelom , sebelum
sebelum2nya,sebelum-sebelumnya
sebelumbya,sebelumnya
sebenernya,sebenarnya
sebgmn , sebagaimana
sebnyak,sebanyak
sebuk , sibuk
"seburuk""",seburuk-buruk
seburuk2,seburuk-buruk
sedangkn,sedangkan
sedihh,sedih
sedihhh,sedih
sedikitlaahh,sedikitlah
see,sih
seeeemua,semua
seeh,sih
seehh,sih
"segala""ny",segala-galanya
segala2nya,segala-galanya
seger,segar
segerr,segar
segerrrr,segar
segitunya,sebegitunya
segtu,sebegitu
seh,sih
seharusny,seharusnya
sehat2,sehat-sehat
sehh,sih
seindonesiyah,seindonesia
sekaeang,sekarang
sekali2,sekali-kali
sekalii,sekali
sekaliiii,sekali
sekaliiiii,sekali
sekangen2,sekangen-kangen
sekarng,sekarang
sekjen , sekretaris jenderal
seklian,sekalian
sekolahin,sekolahkan
sekrang,sekarang
sekrng,sekarang
seksii,seksi
selaen , selain
selaloe,selalu
selaluu,selalu
sellow,selow
selmat,selamat
selmnya,selamanya
selmt,selamat
selmt , selamat
seluru,seluruh
semangaatt,semangat
semangaatttt,semangat
semangatt,semangat
semangattt,semangat
semau , asal
sembako , sembilan bahan pokok
sembuhin,menyembuhkan
"sembunyi""""",sembunyi-sembunyi
semngat,semangat
semogaa,semoga
sempak , celana dalam
sempet,sempat
sempet , sempat
sempet2nya , sempat-sempatnya
sempurnaa,sempurna
sempurnaaaaa,sempurna
semuaaa,semua
semuannyaaa,semuanya
semuanyaa,semuanya
semuanyaaaa,semuanya
senang2,senang-senang
senangat,semangat
sendeng,senang
sendirii,sendiri
sendirinnya,sendirinya
sendirinyya,sendirinya
sendirir,sendiri
sendratari , seni drama tari
sendri,sendiri
seneeeeeng,senang
seneng,senang
senengg,senang
senenggg,senang
senengin,senangi
senyumin,senyumi
senyumna,senyumnya
seorg,seorang
seorg , seorang
sept , september
serasiii,serasi
serasiii , serasi
serem,seram
"serem""",seram-seram
serem2,seram-seram
sering2,sering-sering
sertijab , serah terima jabatan
seru2,seru-seru
seru2an,seru-seruan
seruu,seru
seruuu,seru
sesatt,sesat
sesekk,sesak
sesok,besok
sesok , besok
setabil,stabil
setelur2nya,setelur-telurnya
seterong,setrong
seting , akting
setju,setuju
setting , atur
setujuuu,setuju
setujuuuu,setuju
sewain,menyewa
sexi,seksi
sexi2,seksi-seksi
sexxi,seksi
sey,sih
sgampang,segampang
sgl , segala
sgla,segala
sgrc , support group and resource center
sgt,sangat
sgt , sangat
sgtu,sebegitu
sgtunya , segitunya
sgtu'y,sebegitunya
shaaaay,say
shaay,say
shabat,sahabat
sharusnya,seharusnya
shat,sehat
shay,say
shayy,say
shayyy,say
shbat,sahabat
shbt,sahabat
shg,sehingga
shg , sehingga
sholihah,salihah
shrsnya , seharusnya
si,sih
sia2kan,sia-siakan
siap2 , siap-siap
siapa2,siapa-siapa
siapaa,siapa
siapayahh,siapa ya
siappa,siapa
sibukx,sibuknya
sich,sih
sichh,sih
sichhhhhhhhhh,sih
sidak , inspeksi mendadak
sie,sih
siech , sih
sieyh , sih
sigh , sih
sihat,sehat
sihh,sih
sihhh,sih
sihhhh,sih
sii,sih
siih,sih
siihh,sih
siihhh,sih
siiih,sih
siiihh,sih
siiihhh,sih
siiiiiiippppppppp,sip
siip,sip
siipp,sip
siippp,sip
sik ,sih
"sikap""",sikap-sikap
sikon , situasi dan kondisi
silahkan,silakan
silahkn,silakan
silauuu,silau
silsturahmi,silaturahmi
simiskin , miskin
simpedes , simpanan pedesaan
simpen,simpan
sinet,sinetron
sinetron , sinema elektronik
sintron,sinetron
sip , ok
sipiit,sipit
sipp,sip
siramin , siramkan
siriik,sirik
sirikk,sirik
sis , kakak perempuan
sisain,menyisakan
sista2,sista-sista
sitayngin,ditayangkan
sj,saja
sj , saja
sja,saja
sjk,sejak
sjk , sejak
sk,suka
ska,suka
skali,sekali
skali , sekali
skali2,sekali-kali
skalian , sekalian
skaligus,sekaligus
skalii,sekali
skarang,sekarang
skedar,sekadar
skg,sekarang
skit,sakit
skitar,sekitar
skl , sekali
sklh,sekolah
sklh , sekolah
skli,sekali
sklinyaa,sekalinya
skluarga,sekeluarga
skolah,sekolah
skp,sikap
skr,sekarang
skrang,sekarang
skrg,sekarang
skrg , sekarang
skrng,sekarang
skrngnya,sekarangnya
skrnh,sekarang
skt,sakit
skt , sakit
sktika,seketika
sktlrang,sekarang
skul , sekolah
slah,salah
slahkan,salahkan
slalu,selalu
s'lalu,selalu
slalu , selalu
slaluuuuu,selalu
slam,salam
slama,selama
slama , selama
slamat,selamat
slamet,selamat
slamt,selamat
slera,selera
slesai , selesai
slh,salah
slh , salah
slhkan,salahkan
sling,saling
sll,selalu
sll , selalu
sllu,selalu
sllu , selalu
slm,salam
slm , salam
slma , selama
slmat,selamat
slmnya,salamnya
slmt,selamat
slmt , selamat
slmttt,selamat
slsai , selesai
slt , sulit
slw,selow
sm,sama
sm , sama
sm2,sama-sama
sma,sama
sma , sama
sma2,sama-sama
smakin,semakin
smangat,semangat
smbil,sambil
smentara,sementara
smg,semoga
smg , semoga
smga,semoga
smgaa,semoga
smkin,semakin
smkn , semakin
smnagatin,menyemangati
smngat,semangat
smnjak,semenjak
smog,semoga
smoga,semoga
smogaaa,semoga
smp,sampai
smpai,sampai
smpe,sampai
smpt,sempat
smpt , sempat
smrg,semarang
smster,semester
smua,semua
smua , semua
smuaaa,semua
smulla,semula
smvk,sempak
smw,semua
smw , semua
smwny , semuanya
sna,sana
sndiri,sendiri
sndiri , sendiri
sndr,sendiri
sndri,sendiri
sneng,senang
sng , senang
sngaja,sengaja
sngt,sangat
sni , sini
so,sok
soalx,soalnya
soal'y,soalnya
sodara,saudara
soft , halus
soga,moga
sohib , teman
sok2,sok-sok
sok2an,sok-sokan
sokk,sok
sokong , dukung
soljum , sholat jumat
solve , solusi
somse , sombong sekali
songong , sombong
sorry , maaf
sory , maaf
sosbud , sosial-budaya
sosek , sosial-ekonomi
sospol , sosial-politik
sotoy,sok tau
sotoy , sok tahu
sowry , maaf
sp,siapa
sp,sapa
spa , siapa
spd , sepeda
sperti,seperti
spertinya,sepertinya
sppa , siapa
sprt,seperti
sprti,seperti
sprti , seperti
spt,seperti
spt , seperti
spti,seperti
spy,supaya
spy , supaya
srng,sering
srpti,seperti
srruu,seru
srt , surat
srta,serta
srtfkt , sertifikat
ssh,susah
ssorg,seseorang
sstu,sesuatu
staf2nya,staf-stafnya
stagahhhh,astaga
statusx,statusnya
steess,stres
stelah,setelah
stelah , setelah
stiap,setiap
stiap , setiap
stidaknya,setidaknya
still , masih
stimpal,setimpal
stju,setuju
stlh,setelah
stlh , setelah
stop , henti
stp,setiap
stress,stres
sttus,status
stu,satu
stuju,setuju
suamiii,suami
suamiiiii,suami
suaminga,suaminya
suaminy,suaminya
suami'y,suaminya
suaranyaa,suaranya
suaranyaaaaaa,suaranya
suaraynyaa,suaranya
suarranya,suaranya
subahanallah,subhanallah
subbag , subbagian
subhanaallahh,subhanallah
subhanallahhh,subhanallah
subhanalloh,subhanallah
subhannallah,subhanallah
subhnallah,subhanallah
suces,sukses
sucses,sukses
sud,sudah
suda,sudah
sudab,sudah
sudh,sudah
suerrr,suer
suipit,sipit
suk,suka
suk , masuk
suka.a,sukanya
suka2,suka-suka
sukaa,suka
sukaaa,suka
sukaaaa,suka
sukaaaaaa,suka
sukaaak,suka
sukak,suka
sukakkk,suka
sukam,suka
sukkaa,suka
suko,suka
sukse,sukses
suksea,sukses
suksess,sukses
sukur2,sukur-sukur
sumai,suami
sumbangin , sumbangkan
sumpahh,sumpah
sumpeh,sumpah
sumpek , sempit
sumvahh,sumpah
sunah2,sunah-sunah
sunggu,sungguh
sungguh2,sungguh-sungguh
supeer,super
support,dukung
surgaa,surga
suru,suruh
sweger,segar
swmntara,sementara
sy,saya
sy , saya
sya,saya
sya , saya
syang,sayang
syantiek,cantik
syantiiiiikkkkkkkkkkkk,cantik
syantik,cantik
syediih,sedih
syediiihhh,sedih
syekaliii,sekali
syg,sayang
syg , sayang
sygkuu,sayangku
"syirik""",syirik-syirik
syng,sayang
syngnya,sayangnya
synk,sayang
syp,siapa
syp , siapa
sypa,siapa
syratnya,syaratnya
syukaaakkk,suka
t4,tempat
t4 , tempat
tabanas , tabungan pembangunan nasional
taek,tahi
taekk,tahi
tah,teh
tahannn,tahan
tahi , kotoran
"tahun""",tahun-tahun
tahun2,tahun-tahun
tai,tahi
tai , kotoran
taiiii,tahi
taik,tahi
taik , kotoran
taik , tahi
tajir , kaya
tak , tidak
takuttt,takut
takuuuuut,takut
tambahh,tambah
tambahim,tambahkan
tambahin,tambahkan
tambh,tambah
tampialannya,tampilannya
tamvann,tampan
tanda2nya,tanda-tandanya
tanggung2,tanggung-tanggung
tangkep,tangkap
"tante""",tante-tante
tante2,tante-tante
tantee,tante
tanteny,tantenya
tanya2,tanya-tanya
tanyain,tanyakan
tanyang,tayang
taon,tahun
tap8,tapi
tapii,tapi
tapo,tapi
tappi,tapi
tar,entar
tar , nanti
tarik2 , tarik-tarik
tau,tahu
tau , tahu
tau2,tau-tau
tauk , tahu
taun,tahun
taun , tahun
tauu,tau
tauuu,tau
tauuuu,tau
tauuuuu,tau
taux,taunya
taw,tau
taw , tahu
tawh , tahu
tay,tahi
tayangan2 , tayangan-tayangan
tayik,tahi
taz,atas
tbuh,tubuh
td,tadi
td , tadi
tdak,tidak
tdi,tadi
tdi , tadi
tdk,tidak
tdk , tidak
tdnya,tadinya
tdr,tidur
tdung,tudung
tdur,tidur
te2p , tetap
tebel,tebal
tebir,ribet
"tebir""",ribet-ribet
tegaar,tegar
teguran2,teguran-teguran
teh , kakak perempuan
tehh,teh
tehhh,teh
tehhhh,teh
teken , tekan
tekor , rugi
telaatt,telat
telat , terlambat
telefisi,televisi
telimakacih,terima kasih
telkom , telekomunikasi
telmi , telat berpikir
telp , telepon
"teman""ny",teman-temannya
teman2,teman-teman
teman2 , teman-teman
tembemmm,tembem
tembokk,tembok
temen,teman
temen , teman
"temen""",teman-teman
temen2,teman-teman
temen2 , teman-teman
temenan,berteman
temenkuuh,temanku
temenn,teman
temennya,temannya
temen-temen,teman-teman
tempat2,tempat-tempat
tempt,tempat
tenang2 , tenang tenang
tengah2,tengah-tengah
tengaj,tengah
tenggah,tengah
tengil , menyebalkan
tengok , menjenguk
tenny,tenang
tentanh,tentang
tepar , terkapar
terangkhn,terangkan
terbaeeeek,terbaik
terbaeq,terbaik
terbaiiikkkkk,terbaik
terbaikkk,terbaik
terbitin , terbitkan
terburu2,terburu-buru
terhaaru,terharu
terharuuu,terharu
terharuuuu,terharu
terimaksih,terima kasih
teringt,teringat
terjrumus,terjerumus
terkenall,terkenal
termiribkan,termiripkan
termuraaahhhh,termurah
termurahhh,termurah
termurahhhh,termurah
ternodain,ternodai
ternyataa,ternyata
terong2an,terong-terongan
terossss,terus
terrrrbaik,terbaik
teru,terus
"terus""an",terus-terusan
terus2an,terus-terusan
teruss,terus
terusss,terus
teruuss,terus
teruz,terus
teruzzz,terus
testi,testimoni
testinya,testimoninya
tetaplaah,tetaplah
tetapppp,tetap
tetehh,teteh
tetep,tetap
tetp,tetap
tetp , tetap
teve , televisi
teyuss,terus
tggu , tunggu
tgk,tengok
tgl,tanggal
tgl , tanggal
tgok , tengok
tgu , tunggu
th,tahun
th,teh
th,tahu
th2,tahun-tahun
than,tahan
thanks , terima kasih
thankz , terima kasih
thd , terhadap
thdp,terhadap
thdp , terhadap
therchakitty,tersakiti
thn,tahun
thn , tahun
thnan,tahunan
thu,tuh
thu,itu
thun,tahun
thx , terima kasih
thx , thanks
tiba2,tiba-tiba
tidakkkk,tidak
tiga2nya,tiga-tiganya
tikung2,tikung-tikung
tilang , bukti pelanggaran
tilep , tilap
tingal,tinggal
tinggalin,tinggalkan
tinggalkn,tinggalkan
tinggall,tinggal
tinggl,tinggal
tioghoa , tionghoa
tipe2,tipe-tipe
tipi , TV
tipiwan , TvOne
tips2,tips-tips
tipu2nya,tipu-tipunya
tirani , tiran
tium,cium
tk,tak
tk , taman kanak-kanak
tk , tidak
tkg , tukang
tks , terima kasih
tkut,takut
tl , timeline
tlg,tolong
tll , terlalu
tlog,tolong
tlp,telepon
tlp , telepon
tlpn , telepon
tls , tulis
tlsn,tulisan
tlvn,telepon
tman,teman
tman , teman
tmbah,tambah
tmbah , tambah
tmbh,tambah
tmbh , tambah
tmbm,tembam
tmen,teman
tmen2 , teman-teman
tmn,teman
tmn , teman
tmn2,teman-teman
tmn2 , teman-teman
tmn2nya,teman-temannya
tmpah , tumpah
tmph , tumpah
tmpt,tempat
tmpt , tempat
tnang,tenang
tnda , tanda
tnggl,tanggal
tnggu,tunggu
tngh,tengah
tngu , tunggu
tnh , tanah
tni , tentara nasional indonesia
tnp,tanpa
tnp , tanpa
tnpa,tanpa
tntg,tentang
tntg , tentang
tntram,tentram
tnya,tanya
tnya , tanya
tnyta , ternyata
to,tapi
togel , toto gelap
tohh,toh
tokai , tai
tokayyy,tahi
toketnya,teteknya
tokoh2 , tokoh-tokoh
tolernsi,toleransi
toloollll,tolol
tongolin,menongol
toserba , toko serba ada
tot,entot
toys , main
tp,tapi
tp , tapi
tpi,tapi
tpi , tapi
tpi , tetapi
tpii,tapi
tpy,tapi
tq , terima kasih
trasa,terasa
trbaik,terbaik
trbaikk,terbaik
trbukti,terbukti
trdhulu , terdahulu
tren , trend
trending , trend
trfkir , terfikir
trganggu,terganggu
trgntg , tergantung
trh , terhadap
trhdp , terhadap
trhtung,terhitung
trima,terima
trima , terima kasih
trims,terima kasih
trims , terima kasih
trimz , terima kasih
trjadi,terjadi
trjd,terjadi
trkhr , terakhir
trknal,terkenal
trkrim,terkirim
trlalu,terlalu
trlalu , terlalu
trlihat,terlihat
trll,terlalu
trllu , terlalu
trm , terima
trmanis,termanis
trmasuk,termasuk
trmsk , termasuk
trmsuk,termasuk
trnyata,ternyata
trnyt , ternyata
troma,trauma
trpsah,terpisah
trrharu,terharu
trs,terus
trs , terus
trsa,terasa
trserah,terserah
trserh,terserah
trsrh,terserah
trun,turun
trus,terus
trus , terus
trusan.a,terusannya
trusss,terus
trussss,terus
trutama,terutama
trutama , terutama
trz , terus
ts , penulis
tsangka , tersangka
tsb,tersebut
tsb , tersebut
tsk , tersangka
tst , tahu sama tahu
ttap,tetap
ttd , tertanda
tteh,teteh
ttep,tetap
ttg,tentang
ttg , tentang
tth,teteh
ttinggi,tinggi
ttng , tentang
ttp,tetap
ttp , tetap
tu,itu
tu , itu
tua2,tua-tua
tuany,tuanya
tuch,tuh
tuch , tuh
tuh , itu
tuhanny,tuhannya
tuhh,tuh
tuhhh,tuh
tuir , tua
tuit,tweet
tuk,untuk
tukan,tukang
tullus,tulus
tumpe2,tumpah-tumpah
tunggu2,tunggu-tunggu
tunjukan,tunjukkan
tunjukin,tunjukkan
tutorialx,tutorialnya
tutupin,menutupi
tuu,tuh
tuuh,tuh
tuuu,itu
tuuuuh,tuh
tuwanya,tuanya
tuwek,tua
tuwh , tuh
tuwir,tua
tv , televisi
tw,tau
tw , tahu
twit2 , tweet-tweet
twt , tweet
tx,tak
tyap , tiap
u,untuk
u,lu
u , anda
u , kamu
u ,untuk
u/ ,untuk
uaaasssiiiik,asik
uasai , kuasa
ubur2,ubur-ubur
ucapin,mengucapkan
ucul,lucu
ucull,lucu
ucullllll,lucu
ud,sudah
ud , sudah
uda,sudah
uda , sudah
udah,sudah
udah , sudah
udah2,sudah-sudah
udahh,sudah
udahlah,sudahlah
udeh,sudah
udehh,sudah
udh,sudah
udh , sudah
uga,juga
ugaaa,juga
ugha,juga
ughaa,juga
ugm , universitas gajah mada
uhh,uh
uhhh,uh
ui , universitas indonesia
uih,uh
uitnya,duitnya
ujg,ujung
ujg , ujung
ujung2,ujung-ujung
ujung2nya , ujung-ujungnya
ujunggg,ujung
ul , ulangan
ulan,ulang
ultah , ulang tahun
ultahe,ultahnya
ultha,ultah
unair , universitas airlangga
undang2 , undang undang
undangan2,undangan-undangan
undip , universitas diponegoro
ungkapin,ungkapkan
ungkit2,ungkit-ungkit
univ,universitas
univ , universitas
untk,untuk
unyu , lucu
unyu , menggemaskan
unyu2,unyu-unyu
unyuu,unyu
unyuuk,unyu
uplot , unggah
uppu , apa
urang , saya
urat2nya,urat-uratnya
urg , saya
ursan,urusan
urusanny,urusannya
urusin,mengurusi
urusin,urus
urusn,urusan
usa,usah
usah , perlu
usahh,usah
ush,usah
ust , ustadz
ustzah,ustazah
ut , untuk
utang , hutang
utip , kutip
utk,untuk
utk , untuk
utkmu,untukmu
utul , ujian tertulis
uu , undang-undang
uuh,uh
uuhh,uh
uuhhh,uh
uuuuuaaaaaaaaaappppppppppiiiiiiiiiiiiiiiiiikkkkkkkkkkkkkkkk,apik
uwahhhhh,wah
uwakk,uwak
uwee,gue
uztad,ustad
valas , valuta asing
valid , sah
victory , menang
vol , volume
vote , pilih
w,gue
